FIPS,County_Name
001,Adair
003,Andrew
005,Atchison
007,Audrain
009,Barry
011,Barton
013,Bates
015,Benton
017,Bollinger
019,Boone
021,Buchanan
023,Butler
025,Caldwell
027,Callaway
029,Camden
031,Cape Girardeau
033,Carroll
035,Carter
037,Cass
039,Cedar
041,Chariton
043,Christian
045,Clark
047,Clay
049,Clinton
051,Cole
053,Cooper
055,Crawford
057,Dade
059,Dallas
061,Daviess
063,De Kalb
065,Dent
067,Douglas
069,Dunklin
071,Franklin
073,Gasconade
075,Gentry
077,Greene
079,Grundy
081,Harrison
083,Henry
085,Hickory
087,Holt
089,Howard
091,Howell
093,Iron
095,Jackson
097,Jasper
099,Jefferson
101,Johnson
999,Kansas City
103,Knox
105,Laclede
107,Lafayette
109,Lawrence
111,Lewis
113,Lincoln
115,Linn
117,Livingston
121,Macon
123,Madison
125,Maries
127,Marion
119,McDonald
129,Mercer
131,Miller
133,Mississippi
135,Moniteau
137,Monroe
139,Montgomery
141,Morgan
143,New Madrid
145,Newton
147,Nodaway
149,Oregon
151,Osage
153,Ozark
155,Pemiscot
157,Perry
159,Pettis
161,Phelps
163,Pike
165,Platte
167,Polk
169,Pulaski
171,Putnam
173,Ralls
175,Randolph
177,Ray
179,Reynolds
181,Ripley
195,Saline
197,Schuyler
199,Scotland
201,Scott
203,Shannon
205,Shelby
183,St. Charles
185,St. Clair
187,St. Francois
189,St. Louis
510,St. Louis City
186,Ste. Genevieve
207,Stoddard
209,Stone
211,Sullivan
213,Taney
215,Texas
217,Vernon
219,Warren
221,Washington
223,Wayne
225,Webster
227,Worth
229,Wright
